date,report_org_code,org_code,activity,activity_short,state,township,beneficiaries,new_beneficiaries
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Maungdaw,362,0
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Maungdaw,20,0
2022-03-01,org_2254,org_2254,food/cash for work/assets,food_cash for work_assets,Rakhine,Maungdaw,69,0
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Maungdaw,201,0
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Maungdaw,8,0
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Maungdaw,80,80
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Maungdaw,5,0
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Buthidaung,1016,1016
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Buthidaung,51,0
2022-03-01,org_2254,org_2254,food/cash for work/assets,food_cash for work_assets,Rakhine,Buthidaung,68,0
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Buthidaung,357,0
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Buthidaung,22,0
2022-03-01,org_2254,org_2254,food/cash for work/assets,food_cash for work_assets,Rakhine,Buthidaung,31,0
2022-03-01,org_2254,org_2254,"food distributions (in kind/voucher/cash), moderate",food distribution,Rakhine,Buthidaung,141,141
2022-03-01,org_2254,org_2254,"food distributions (in kind/voucher/cash), moderate",food distribution,Rakhine,Buthidaung,17,0
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Maungdaw,153,153
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Maungdaw,6,0
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Maungdaw,348,0
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Maungdaw,15,0
2022-03-01,org_2254,org_2254,food/cash for work/assets,food_cash for work_assets,Rakhine,Maungdaw,164,0
2022-03-01,org_2254,org_2254,"food distributions (in kind/voucher/cash), moderate",food distribution,Rakhine,Buthidaung,187,0
2022-03-01,org_2254,org_2254,"food distributions (in kind/voucher/cash), moderate",food distribution,Rakhine,Buthidaung,23,0
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Buthidaung,18,0
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Buthidaung,5,0
2022-03-01,org_2254,org_2254,food/cash for work/assets,food_cash for work_assets,Rakhine,Buthidaung,22,22
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Maungdaw,1370,1370
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Maungdaw,81,0
2022-03-01,org_2254,org_2254,food/cash for work/assets,food_cash for work_assets,Rakhine,Maungdaw,109,0
2022-03-01,org_2254,org_2254,"food distributions (in kind/voucher/cash), moderate",food distribution,Rakhine,Maungdaw,275,0
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Maungdaw,80,80
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Maungdaw,11,0
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Maungdaw,258,258
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Maungdaw,20,0
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Buthidaung,85,85
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Buthidaung,7,0
2022-03-01,org_2254,org_2254,food/cash for work/assets,food_cash for work_assets,Rakhine,Buthidaung,15,0
2022-03-01,org_2254,org_2254,"food distributions (in kind/voucher/cash), moderate",food distribution,Rakhine,Buthidaung,739,739
2022-03-01,org_2254,org_2254,"food distributions (in kind/voucher/cash), moderate",food distribution,Rakhine,Buthidaung,50,0
2022-03-01,org_2254,org_2254,"food distributions (in kind/voucher/cash), moderate",food distribution,Rakhine,Buthidaung,435,435
2022-03-01,org_2254,org_2254,"food distributions (in kind/voucher/cash), moderate",food distribution,Rakhine,Buthidaung,19,0
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Maungdaw,72,72
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Maungdaw,4,0
2022-03-01,org_2254,org_2254,food/cash for work/assets,food_cash for work_assets,Rakhine,Maungdaw,13,0
2022-03-01,org_2254,org_2254,"food distributions (in kind/voucher/cash), moderate",food distribution,Rakhine,Maungdaw,5205,0
2022-03-01,org_2254,org_2254,"food distributions (in kind/voucher/cash), moderate",food distribution,Rakhine,Maungdaw,252,0
2022-03-01,org_2254,org_2254,"food distributions (in kind/voucher/cash), moderate",food distribution,Rakhine,Buthidaung,264,264
2022-03-01,org_2254,org_2254,"food distributions (in kind/voucher/cash), moderate",food distribution,Rakhine,Buthidaung,19,0
2022-03-01,org_2254,org_2254,"food distributions (in kind/voucher/cash), moderate",food distribution,Rakhine,Buthidaung,106,106
2022-03-01,org_2254,org_2254,"food distributions (in kind/voucher/cash), moderate",food distribution,Rakhine,Buthidaung,7,0
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Maungdaw,170,170
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Maungdaw,13,0
2022-03-01,org_2254,org_2254,food/cash for work/assets,food_cash for work_assets,Rakhine,Maungdaw,13,0
2022-03-01,org_2254,org_2254,"food distributions (in kind/voucher/cash), moderate",food distribution,Rakhine,Buthidaung,1359,0
